index,Geo_Region_for_Bean,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness
544,Peru,40.75,-86.07,18.89,77,1
545,Venezuela,8.0,-66.0,26.21,79,80
546,Colombia,20.99,-77.43,24.0,100,50
547,Liberia,6.5,-9.5,21.87,98,57
548,Piura,-5.2,-80.63,19.77,69,1
549,Peru,40.75,-86.07,18.89,77,1
550,Porcelana,-22.77,-64.3,17.96,90,98
551,Colombia,4.0,-72.0,22.76,95,69
552,Ben Tre,10.23,106.38,34.36,48,49
553,Marañón,42.63,-2.44,9.44,100,20
554,Ecuador,-2.0,-77.5,20.98,88,0
555,Tumbes,-3.57,-80.46,22.46,73,27
556,Colombia,20.99,-77.43,24.0,100,50
557,Piura,-5.2,-80.63,19.77,69,1
558,Cusco,-13.52,-71.98,7.88,77,0
559,San Martín,-33.08,-68.47,18.0,12,0
560,Ben Tre,10.23,106.38,34.36,48,49
561,Ba Ria,10.5,107.17,33.0,59,75
562,Ben Tre,10.23,106.38,34.36,48,49
563,Nigeria,10.0,8.0,19.45,93,100
564,Ghana,8.0,-2.0,21.77,94,54
565,Dominican Republic,19.0,-70.67,14.59,100,90
566,Dominican Republic,19.0,-70.67,14.59,100,90
567,Pisa,43.72,10.4,16.11,100,81
568,Tumaco,1.8,-78.82,24.61,89,96
569,Guatemala City,14.64,-90.51,19.0,82,20
570,Tanzania,-6.0,35.0,19.91,70,6
571,Madagascar,-20.0,47.0,9.43,84,31
572,Chuao,10.49,-67.53,18.89,73,100
573,Chuao,10.49,-67.53,18.89,73,100
574,Chuao,10.49,-67.53,18.89,73,100
575,Chuao,10.49,-67.53,18.89,73,100
576,San Martín,-33.08,-68.47,18.0,12,0
577,Patanemo,10.43,-67.92,25.91,81,100
578,Ocumare de la Costa,10.46,-67.77,25.45,84,100
579,Dominican Republic,19.0,-70.67,14.59,100,90
580,Somia,32.16,35.78,18.0,55,20
581,Tumbes,-3.57,-80.44,22.18,74,29
582,Bolivia,34.07,-78.15,25.56,78,90
583,Venezuela,8.0,-66.0,26.21,79,80
584,Belize,17.25,-88.75,25.56,72,93
585,Nicaragua,13.0,-85.0,22.53,94,98
586,Dominican Republic,19.0,-70.67,14.59,100,90
587,Madagascar,-20.0,47.0,9.43,84,31
588,Madagascar,-20.0,47.0,9.43,84,31
589,El Salvador,13.83,-88.92,25.0,100,40
590,El Salvador,13.83,-88.92,25.0,100,40
591,Honduras,15.0,-86.5,18.19,99,99
592,Honduras,15.0,-86.5,18.19,99,99
593,La Tronca,43.38,-6.12,12.22,81,20
594,La Tronca,43.38,-6.12,12.22,81,20
595,South America,-14.6,-57.66,20.46,68,0
596,Chiapas,16.5,-92.5,16.79,86,81
597,Patanemo,10.43,-67.92,25.91,81,100
598,Matagalpa,12.93,-85.92,19.77,93,100
599,Belize,17.25,-88.75,25.56,72,93
600,Ecuador,-2.0,-77.5,20.98,88,0
601,Ecuador,-2.0,-77.5,20.98,88,0
602,Ecuador,-2.0,-77.5,20.98,88,0
603,Ecuador,-2.0,-77.5,20.98,88,0
604,Estado de Bahia,-12.0,-42.0,16.6,95,13
605,Tumaco,1.8,-78.82,24.61,89,96
606,Toledo District,16.33,-88.75,24.35,93,100
607,Toledo District,16.33,-88.75,24.35,93,100
608,Indonesia,-5.0,120.0,31.0,70,20
609,Peru,40.75,-86.07,18.89,77,1
610,Matagalpa,12.93,-85.92,19.77,93,100
611,Mombacho,11.79,-85.9,26.56,79,100
612,Nicaragua,13.0,-85.0,22.53,94,98
613,Nicaragua,13.0,-85.0,22.53,94,98
614,Ambanja,-13.68,48.45,22.28,63,17
615,Costa Rica,-23.42,-54.65,19.68,83,8
616,Costa Rica,-23.42,-54.65,19.68,83,8
617,Trinidad,21.8,-79.98,25.0,88,99
618,Granada,37.19,-3.61,15.0,87,75
619,Nicaragua,13.0,-85.0,22.53,94,98
620,Chuao,10.49,-67.53,18.89,73,100
621,Barinas,8.62,-70.21,23.11,93,81
622,Peru,40.75,-86.07,18.89,77,1
623,Madagascar,-20.0,47.0,9.43,84,31
624,Ghana,8.0,-2.0,21.77,94,54
625,São Tomé,0.34,6.73,24.31,81,51
626,Ocumare del Tuy,10.12,-66.78,20.56,73,68
627,Patanemo,10.43,-67.92,25.91,81,100
628,Ambanja,-13.68,48.45,22.28,63,17
629,Tumbes,-3.57,-80.44,22.18,74,29
630,Peru,40.75,-86.07,18.89,77,1
631,Ecuador,-2.0,-77.5,20.98,88,0
632,Ghana,8.0,-2.0,21.77,94,54
633,Venezuela,8.0,-66.0,26.21,79,80
634,Ecuador,-2.0,-77.5,20.98,88,0
635,La Dalia,12.86,-87.5,27.42,77,100
636,Ghana,8.0,-2.0,21.77,94,54
637,Ecuador,-2.0,-77.5,20.98,88,0
638,Canoabo,10.31,-68.28,22.28,88,100
639,Jamaica,22.98,-82.17,24.0,100,40
640,Pangoa,-12.12,-73.0,18.77,96,1
641,Pangoa,-12.12,-73.0,18.77,96,1
642,Piura,-5.2,-80.63,19.77,69,1
643,Tanzania,-6.0,35.0,19.91,70,6
644,Sylvestre,19.28,-71.81,19.48,93,93
645,Ghana,8.0,-2.0,21.77,94,54
646,Madagascar,-20.0,47.0,9.43,84,31
647,Caribe,10.43,-73.25,23.03,88,99
648,Piura,-5.19,-80.63,19.76,69,1
649,Peru,40.75,-86.07,18.89,77,1
650,Peru,40.75,-86.07,18.89,77,1
651,Sierra Nevada,37.09,-3.4,13.89,84,74
652,Tangará,-6.2,-35.8,24.0,100,75
653,Ecuador,-2.0,-77.5,20.98,88,0
654,Piura,-5.2,-80.63,19.77,69,1
655,Esmeraldas,-19.76,-44.31,18.0,82,0
656,Los Ríos,18.52,-71.59,25.02,67,100
657,Raw,54.44,-0.56,11.11,95,100
658,Raw,54.44,-0.56,11.11,95,100
